Call_ID,Agent,Supervisor,LOB,Start_Time,End_Time,Total_Handle_Time,Talk_Time,Queue_Time,Silence_Time,Escalated,NPS,UES
138,Daisy,Walter,MnR,"Thursday, October 9, 2025, 10:33:00 AM","Thursday, October 9, 2025, 10:38:00 AM",307,255,21,31,Yes,3,3
139,Mary,Jon,CnS,"Wednesday, March 12, 2025, 8:26:00 AM","Wednesday, March 12, 2025, 8:29:00 AM",173,152,12,9,No,8,9
140,Justin,Robert,EnL,"Tuesday, May 20, 2025, 11:03:00 AM","Tuesday, May 20, 2025, 11:11:00 AM",423,368,21,34,Yes,1,2
141,Harry,Laura,MnR,"Monday, August 25, 2025, 2:41:00 PM","Monday, August 25, 2025, 2:46:00 PM",302,263,18,21,Yes,3,4
142,Daniel,Kim,CnS,"Wednesday, November 19, 2025, 9:43:00 AM","Wednesday, November 19, 2025, 9:46:00 AM",192,159,27,6,No,9,10
143,Daisy,Walter,EnL,"Tuesday, February 4, 2025, 7:40:00 PM","Tuesday, February 4, 2025, 7:41:00 PM",87,76,9,2,No,10,10
144,Mary,Jon,MnR,"Wednesday, June 11, 2025, 10:46:00 AM","Wednesday, June 11, 2025, 10:47:00 AM",67,59,7,1,No,9,9
145,Justin,Robert,CnS,"Monday, September 22, 2025, 8:01:00 PM","Monday, September 22, 2025, 8:02:00 PM",118,105,8,5,No,8,8
146,Harry,Laura,EnL,"Tuesday, January 14, 2025, 9:32:00 AM","Tuesday, January 14, 2025, 9:34:00 AM",112,93,8,11,No,10,9
147,Daniel,Kim,MnR,"Wednesday, April 30, 2025, 7:30:00 PM","Wednesday, April 30, 2025, 7:37:00 PM",441,362,57,22,Yes,1,1
148,Daisy,Walter,CnS,"Saturday, July 12, 2025, 6:25:00 PM","Saturday, July 12, 2025, 6:33:00 PM",434,369,43,22,Yes,2,2
149,Mary,Jon,EnL,"Saturday, October 25, 2025, 7:33:00 PM","Saturday, October 25, 2025, 7:40:00 PM",391,344,20,27,Yes,1,2
150,Justin,Robert,MnR,"Saturday, March 15, 2025, 2:39:00 PM","Saturday, March 15, 2025, 2:44:00 PM",306,270,18,18,Yes,3,3
151,Harry,Laura,CnS,"Thursday, May 22, 2025, 7:03:00 PM","Thursday, May 22, 2025, 7:09:00 PM",318,261,25,32,Yes,2,4
152,Daniel,Kim,EnL,"Monday, August 11, 2025, 6:46:00 PM","Monday, August 11, 2025, 6:48:00 PM",154,130,15,9,No,9,9
153,Daisy,Walter,MnR,"Tuesday, November 4, 2025, 1:35:00 PM","Tuesday, November 4, 2025, 1:41:00 PM",406,362,20,24,Yes,1,1
154,Mary,Jon,CnS,"Wednesday, February 19, 2025, 5:48:00 PM","Wednesday, February 19, 2025, 5:53:00 PM",282,246,25,11,Yes,4,4
155,Justin,Robert,EnL,"Wednesday, June 25, 2025, 8:34:00 AM","Wednesday, June 25, 2025, 8:35:00 AM",67,59,3,5,No,10,10
156,Harry,Laura,MnR,"Friday, September 12, 2025, 12:03:00 PM","Friday, September 12, 2025, 12:10:00 PM",436,366,48,22,Yes,2,2
157,Daniel,Kim,CnS,"Wednesday, January 8, 2025, 1:54:00 PM","Wednesday, January 8, 2025, 1:58:00 PM",249,202,27,20,Yes,3,4
158,Daisy,Walter,EnL,"Tuesday, April 22, 2025, 5:49:00 PM","Tuesday, April 22, 2025, 5:52:00 PM",209,193,10,6,Yes,4,4
159,Mary,Jon,MnR,"Wednesday, July 30, 2025, 3:43:00 PM","Wednesday, July 30, 2025, 3:45:00 PM",132,109,20,3,No,8,9
160,Justin,Robert,CnS,"Tuesday, October 14, 2025, 12:04:00 PM","Tuesday, October 14, 2025, 12:09:00 PM",274,253,16,5,Yes,4,3
161,Harry,Laura,EnL,"Tuesday, March 4, 2025, 9:25:00 AM","Tuesday, March 4, 2025, 9:27:00 AM",102,84,11,7,No,9,10
162,Daniel,Kim,MnR,"Thursday, May 29, 2025, 12:56:00 PM","Thursday, May 29, 2025, 1:01:00 PM",284,247,23,14,Yes,3,3
163,Daisy,Walter,CnS,"Monday, August 18, 2025, 9:11:00 AM","Monday, August 18, 2025, 9:14:00 AM",164,140,8,16,No,8,8
164,Mary,Jon,EnL,"Monday, November 10, 2025, 1:47:00 PM","Monday, November 10, 2025, 1:54:00 PM",428,398,21,9,Yes,1,1
165,Justin,Robert,MnR,"Saturday, February 22, 2025, 12:33:00 PM","Saturday, February 22, 2025, 12:34:00 PM",91,79,7,5,No,10,9
166,Harry,Laura,CnS,"Wednesday, May 14, 2025, 7:05:00 PM","Wednesday, May 14, 2025, 7:09:00 PM",214,180,13,21,Yes,4,4
167,Daniel,Kim,EnL,"Thursday, August 28, 2025, 12:54:00 PM","Thursday, August 28, 2025, 12:58:00 PM",223,196,20,7,Yes,4,4
168,Daisy,Walter,MnR,"Wednesday, November 5, 2025, 4:58:00 PM","Wednesday, November 5, 2025, 5:01:00 PM",196,160,18,18,No,9,8
169,Mary,Jon,CnS,"Sunday, January 19, 2025, 12:20:00 PM","Sunday, January 19, 2025, 12:25:00 PM",318,260,29,29,Yes,2,2
170,Justin,Robert,EnL,"Saturday, April 12, 2025, 3:25:00 PM","Saturday, April 12, 2025, 3:31:00 PM",350,297,35,18,Yes,1,2
171,Harry,Laura,MnR,"Friday, July 25, 2025, 8:42:00 PM","Friday, July 25, 2025, 8:47:00 PM",290,255,23,12,Yes,3,3
172,Daniel,Kim,CnS,"Thursday, October 2, 2025, 4:16:00 PM","Thursday, October 2, 2025, 4:22:00 PM",330,297,26,7,Yes,2,2
173,Daisy,Walter,EnL,"Tuesday, January 14, 2025, 10:21:00 AM","Tuesday, January 14, 2025, 10:26:00 AM",328,292,20,16,Yes,3,4
174,Mary,Jon,MnR,"Saturday, March 29, 2025, 2:46:00 PM","Saturday, March 29, 2025, 2:49:00 PM",180,141,25,14,No,9,9
175,Justin,Robert,CnS,"Thursday, June 12, 2025, 9:49:00 AM","Thursday, June 12, 2025, 9:54:00 AM",288,230,29,29,Yes,3,3
176,Harry,Laura,EnL,"Friday, September 19, 2025, 12:28:00 PM","Friday, September 19, 2025, 12:30:00 PM",110,90,11,9,No,8,10
177,Daniel,Kim,MnR,"Friday, December 5, 2025, 6:55:00 PM","Friday, December 5, 2025, 7:00:00 PM",354,304,39,11,Yes,2,2
178,Daisy,Walter,CnS,"Friday, February 14, 2025, 1:48:00 PM","Friday, February 14, 2025, 1:53:00 PM",291,233,29,29,Yes,3,4
179,Mary,Jon,EnL,"Wednesday, May 28, 2025, 1:31:00 PM","Wednesday, May 28, 2025, 1:32:00 PM",86,73,10,3,No,10,10
180,Justin,Robert,MnR,"Tuesday, August 12, 2025, 11:47:00 AM","Tuesday, August 12, 2025, 11:52:00 AM",290,241,23,26,Yes,4,4
181,Harry,Laura,CnS,"Saturday, November 15, 2025, 5:59:00 PM","Saturday, November 15, 2025, 6:05:00 PM",338,294,17,27,Yes,2,3
182,Daniel,Kim,EnL,"Thursday, January 30, 2025, 1:49:00 PM","Thursday, January 30, 2025, 1:51:00 PM",119,95,14,10,No,9,9
183,Daisy,Walter,MnR,"Friday, April 11, 2025, 5:40:00 PM","Friday, April 11, 2025, 5:48:00 PM",449,373,58,18,Yes,1,1
184,Mary,Jon,CnS,"Tuesday, July 22, 2025, 5:17:00 PM","Tuesday, July 22, 2025, 5:20:00 PM",153,122,20,11,No,8,9
185,Justin,Robert,EnL,"Saturday, October 4, 2025, 1:54:00 PM","Saturday, October 4, 2025, 1:58:00 PM",254,219,30,5,Yes,4,4
186,Harry,Laura,MnR,"Saturday, January 18, 2025, 11:27:00 AM","Saturday, January 18, 2025, 11:29:00 AM",127,113,9,5,No,9,10
187,Daniel,Kim,CnS,"Tuesday, March 25, 2025, 4:43:00 PM","Tuesday, March 25, 2025, 4:48:00 PM",315,283,19,13,Yes,3,3
188,Daisy,Walter,EnL,"Thursday, June 12, 2025, 2:10:00 PM","Thursday, June 12, 2025, 2:12:00 PM",117,92,13,12,No,10,10
189,Mary,Jon,MnR,"Friday, September 19, 2025, 9:29:00 AM","Friday, September 19, 2025, 9:34:00 AM",295,250,21,24,Yes,4,4
190,Justin,Robert,CnS,"Thursday, December 11, 2025, 9:46:00 AM","Thursday, December 11, 2025, 9:53:00 AM",418,351,59,8,Yes,2,2
191,Harry,Laura,EnL,"Friday, February 14, 2025, 2:34:00 PM","Friday, February 14, 2025, 2:35:00 PM",67,55,7,5,No,9,10
192,Daniel,Kim,MnR,"Thursday, May 8, 2025, 5:06:00 PM","Thursday, May 8, 2025, 5:12:00 PM",366,304,29,33,Yes,1,2
193,Daisy,Walter,CnS,"Monday, August 11, 2025, 9:39:00 AM","Monday, August 11, 2025, 9:44:00 AM",286,234,29,23,Yes,4,4
194,Mary,Jon,EnL,"Wednesday, October 22, 2025, 1:04:00 PM","Wednesday, October 22, 2025, 1:09:00 PM",266,234,24,8,Yes,4,4
195,Justin,Robert,MnR,"Tuesday, January 14, 2025, 8:14:00 AM","Tuesday, January 14, 2025, 8:16:00 AM",136,109,15,12,No,8,9
196,Harry,Laura,CnS,"Tuesday, March 25, 2025, 6:42:00 PM","Tuesday, March 25, 2025, 6:44:00 PM",144,122,13,9,No,9,8
197,Daniel,Kim,EnL,"Thursday, June 12, 2025, 10:43:00 AM","Thursday, June 12, 2025, 10:46:00 AM",138,115,19,4,No,10,10
198,Daisy,Walter,MnR,"Friday, September 19, 2025, 2:04:00 PM","Friday, September 19, 2025, 2:09:00 PM",332,292,20,20,Yes,2,2
199,Mary,Jon,CnS,"Thursday, December 4, 2025, 12:02:00 PM","Thursday, December 4, 2025, 12:05:00 PM",183,159,15,9,No,9,9
200,Justin,Robert,EnL,"Friday, February 14, 2025, 8:10:00 PM","Friday, February 14, 2025, 8:17:00 PM",383,333,23,27,Yes,1,2
